school,grade,number_candidates,score,subject,year,area
KAKUMA REFUGEE SECONDARY,A,3,12,maths,2019,kk
KAKUMA REFUGEE SECONDARY,A-,0,11,maths,2019,kk
KAKUMA REFUGEE SECONDARY,B+,2,10,maths,2019,kk
KAKUMA REFUGEE SECONDARY,B,0,9,maths,2019,kk
KAKUMA REFUGEE SECONDARY,B-,4,8,maths,2019,kk
KAKUMA REFUGEE SECONDARY,C+,4,7,maths,2019,kk
KAKUMA REFUGEE SECONDARY,C,5,6,maths,2019,kk
KAKUMA REFUGEE SECONDARY,C-,7,5,maths,2019,kk
KAKUMA REFUGEE SECONDARY,D+,6,4,maths,2019,kk
KAKUMA REFUGEE SECONDARY,D,33,3,maths,2019,kk
KAKUMA REFUGEE SECONDARY,D-,79,2,maths,2019,kk
KAKUMA REFUGEE SECONDARY,E,373,1,maths,2019,kk
KAKUMA REFUGEE SECONDARY,X,10,0,maths,2019,kk
KAKUMA REFUGEE SECONDARY,Y,0,0,maths,2019,kk
KAKUMA REFUGEE SECONDARY,U,0,0,maths,2019,kk
KAKUMA REFUGEE SECONDARY,P,0,0,maths,2019,kk
KAKUMA REFUGEE SECONDARY,W,0,0,maths,2019,kk
GREEN LIGHT SECONDARY,A,1,12,maths,2019,kk
GREEN LIGHT SECONDARY,A-,3,11,maths,2019,kk
GREEN LIGHT SECONDARY,B+,2,10,maths,2019,kk
GREEN LIGHT SECONDARY,B,0,9,maths,2019,kk
GREEN LIGHT SECONDARY,B-,4,8,maths,2019,kk
GREEN LIGHT SECONDARY,C+,3,7,maths,2019,kk
GREEN LIGHT SECONDARY,C,6,6,maths,2019,kk
GREEN LIGHT SECONDARY,C-,3,5,maths,2019,kk
GREEN LIGHT SECONDARY,D+,8,4,maths,2019,kk
GREEN LIGHT SECONDARY,D,27,3,maths,2019,kk
GREEN LIGHT SECONDARY,D-,54,2,maths,2019,kk
GREEN LIGHT SECONDARY,E,263,1,maths,2019,kk
GREEN LIGHT SECONDARY,X,7,0,maths,2019,kk
GREEN LIGHT SECONDARY,Y,0,0,maths,2019,kk
GREEN LIGHT SECONDARY,U,0,0,maths,2019,kk
GREEN LIGHT SECONDARY,P,1,0,maths,2019,kk
GREEN LIGHT SECONDARY,W,0,0,maths,2019,kk
SOMALI BANTU SECONDARY,A,4,12,maths,2019,kk
SOMALI BANTU SECONDARY,A-,1,11,maths,2019,kk
SOMALI BANTU SECONDARY,B+,6,10,maths,2019,kk
SOMALI BANTU SECONDARY,B,3,9,maths,2019,kk
SOMALI BANTU SECONDARY,B-,5,8,maths,2019,kk
SOMALI BANTU SECONDARY,C+,0,7,maths,2019,kk
SOMALI BANTU SECONDARY,C,10,6,maths,2019,kk
SOMALI BANTU SECONDARY,C-,8,5,maths,2019,kk
SOMALI BANTU SECONDARY,D+,7,4,maths,2019,kk
SOMALI BANTU SECONDARY,D,27,3,maths,2019,kk
SOMALI BANTU SECONDARY,D-,69,2,maths,2019,kk
